dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,pagerank,256,10,10,0.25,0.25,0.8061437414503452,0.8187119675456389,0.8187119675456389,00:05:59.130
pubmed,pagerank,256,10,10,0.25,0.25,0.8034481461947577,0.815922920892495,0.815922920892495,00:05:56.137
pubmed,pagerank,256,10,10,0.25,0.25,0.8051707136239608,0.8176977687626775,0.8176977687626775,00:05:59.850
pubmed,pagerank,256,10,10,0.25,0.25,0.8076830101209721,0.8197261663286004,0.8197261663286004,00:05:55.906
pubmed,pagerank,256,10,10,0.25,0.25,0.8081592414837342,0.8202332657200812,0.8202332657200812,00:05:59.121
pubmed,pagerank,256,10,10,0.25,0.25,0.8100739439644885,0.8217545638945233,0.8217545638945233,00:06:03.278
pubmed,pagerank,256,10,10,0.25,0.25,0.8059417013136136,0.8194726166328601,0.8194726166328601,00:05:58.471
pubmed,pagerank,256,10,10,0.25,0.25,0.8132713589133975,0.8253042596348884,0.8253042596348884,00:06:03.815
pubmed,pagerank,256,10,10,0.25,0.25,0.8075251274756984,0.8194726166328601,0.8194726166328601,00:05:59.045
pubmed,pagerank,256,10,10,0.25,0.25,0.8069069340831678,0.8199797160243407,0.8199797160243407,00:05:57.110
pubmed,pagerank,256,10,10,0.25,0.25,0.8065075057884656,0.8194726166328601,0.8194726166328601,00:05:55.649
pubmed,pagerank,256,10,10,0.25,0.25,0.8019867701835938,0.8156693711967545,0.8156693711967545,00:06:02.940
pubmed,pagerank,256,10,10,0.25,0.25,0.8103141827636263,0.8235294117647058,0.8235294117647058,00:05:58.120
pubmed,pagerank,256,10,10,0.25,0.25,0.8117890009674568,0.8245436105476673,0.8245436105476673,00:05:55.583
pubmed,pagerank,256,10,10,0.25,0.25,0.803649721700454,0.8154158215010142,0.8154158215010142,00:05:58.029
pubmed,pagerank,256,10,10,0.25,0.25,0.8025242761254505,0.8154158215010142,0.8154158215010142,00:06:00.867
pubmed,pagerank,256,10,10,0.25,0.25,0.8008963969763672,0.8121196754563893,0.8121196754563894,00:05:55.121
pubmed,pagerank,256,10,10,0.25,0.25,0.8074370947250286,0.8199797160243407,0.8199797160243407,00:05:56.022
pubmed,pagerank,256,10,10,0.25,0.25,0.8087781002062897,0.821501014198783,0.821501014198783,00:05:55.948
pubmed,pagerank,256,10,10,0.25,0.25,0.8075169561732306,0.8202332657200812,0.8202332657200812,00:05:57.237
pubmed,pagerank,256,10,10,0.25,0.25,0.8076236576555749,0.8202332657200812,0.8202332657200812,00:05:54.306
pubmed,pagerank,256,10,10,0.25,0.25,0.8019569003723624,0.815922920892495,0.815922920892495,00:05:56.299
pubmed,pagerank,256,10,10,0.25,0.25,0.8088889778421011,0.8207403651115619,0.8207403651115619,00:06:01.337
pubmed,pagerank,256,10,10,0.25,0.25,0.8060723222290935,0.8197261663286004,0.8197261663286004,00:05:54.861
pubmed,pagerank,256,10,10,0.25,0.25,0.8041040772070817,0.8176977687626775,0.8176977687626775,00:05:55.246
pubmed,pagerank,256,10,10,0.25,0.25,0.8026569298433427,0.8164300202839757,0.8164300202839757,00:05:57.274
pubmed,pagerank,256,10,10,0.25,0.25,0.809748707952238,0.821501014198783,0.821501014198783,00:06:02.128
pubmed,pagerank,256,10,10,0.25,0.25,0.8017953173529552,0.8151622718052738,0.8151622718052738,00:06:02.940
pubmed,pagerank,256,10,10,0.25,0.25,0.8034845548598254,0.8164300202839757,0.8164300202839757,00:05:57.112
pubmed,pagerank,256,10,10,0.25,0.25,0.817535392492272,0.8288539553752535,0.8288539553752535,00:05:58.062
pubmed,pagerank,256,10,10,0.25,0.25,0.7964540830305312,0.8095841784989858,0.8095841784989858,00:06:11.436
pubmed,pagerank,256,10,10,0.25,0.25,0.8078612241845103,0.8207403651115619,0.8207403651115619,00:06:02.047
pubmed,pagerank,256,10,10,0.25,0.25,0.8048813676110903,0.8164300202839757,0.8164300202839757,00:05:59.924
pubmed,pagerank,256,10,10,0.25,0.25,0.8110368665001776,0.8237829614604463,0.8237829614604463,00:05:56.629
pubmed,pagerank,256,10,10,0.25,0.25,0.8106137152877174,0.8227687626774848,0.8227687626774848,00:05:59.683
pubmed,pagerank,256,10,10,0.25,0.25,0.8069361599299422,0.8194726166328601,0.8194726166328601,00:06:03.769
pubmed,pagerank,256,10,10,0.25,0.25,0.8060786992828777,0.8192190669371197,0.8192190669371197,00:06:11.894
pubmed,pagerank,256,10,10,0.25,0.25,0.8014393501428674,0.8151622718052738,0.8151622718052738,00:06:07.195
pubmed,pagerank,256,10,10,0.25,0.25,0.806213663502836,0.818204868154158,0.8182048681541582,00:06:11.181
pubmed,pagerank,256,10,10,0.25,0.25,0.8066310638472673,0.8184584178498986,0.8184584178498986,00:06:07.993
pubmed,pagerank,256,10,10,0.25,0.25,0.8041160331659737,0.8174442190669371,0.8174442190669371,00:06:09.274
pubmed,pagerank,256,10,10,0.25,0.25,0.8026605587473784,0.8171906693711968,0.8171906693711968,00:06:08.880
pubmed,pagerank,256,10,10,0.25,0.25,0.8075793456306704,0.8199797160243407,0.8199797160243407,00:06:17.114
pubmed,pagerank,256,10,10,0.25,0.25,0.8035408169459709,0.816683569979716,0.816683569979716,00:06:17.690
pubmed,pagerank,256,10,10,0.25,0.25,0.8034669594403178,0.8156693711967545,0.8156693711967545,00:06:13.725
pubmed,pagerank,256,10,10,0.25,0.25,0.8061626510840499,0.8187119675456389,0.8187119675456389,00:06:05.527
pubmed,pagerank,256,10,10,0.25,0.25,0.8065884965647605,0.8189655172413793,0.8189655172413793,00:05:56.974
pubmed,pagerank,256,10,10,0.25,0.25,0.8143206446489654,0.8265720081135903,0.8265720081135902,00:05:59.690
pubmed,pagerank,256,10,10,0.25,0.25,0.8147573974676994,0.8255578093306288,0.8255578093306288,00:05:57.196
pubmed,pagerank,256,10,10,0.25,0.25,0.8074977255793904,0.8204868154158215,0.8204868154158215,00:05:58.401
pubmed,pagerank,256,10,10,0.25,0.25,0.805118023163136,0.8192190669371197,0.8192190669371197,00:05:57.640
pubmed,pagerank,256,10,10,0.25,0.25,0.8071322384863086,0.8197261663286004,0.8197261663286004,00:05:58.654
pubmed,pagerank,256,10,10,0.25,0.25,0.803975210172282,0.818204868154158,0.8182048681541582,00:05:59.430
pubmed,pagerank,256,10,10,0.25,0.25,0.8010462130243168,0.8149087221095335,0.8149087221095335,00:05:56.033
pubmed,pagerank,256,10,10,0.25,0.25,0.8054153201589936,0.8169371196754563,0.8169371196754563,00:05:59.411
pubmed,pagerank,256,10,10,0.25,0.25,0.8094463521820986,0.8227687626774848,0.8227687626774848,00:05:59.946
pubmed,pagerank,256,10,10,0.25,0.25,0.8025033789154113,0.816683569979716,0.816683569979716,00:06:02.742
pubmed,pagerank,256,10,10,0.25,0.25,0.8056416153318463,0.8174442190669371,0.8174442190669371,00:06:01.725
pubmed,pagerank,256,10,10,0.25,0.25,0.8074863826413164,0.8197261663286004,0.8197261663286004,00:05:58.408
pubmed,pagerank,256,10,10,0.25,0.25,0.8106143337926538,0.8227687626774848,0.8227687626774848,00:05:59.369
pubmed,pagerank,256,10,10,0.25,0.25,0.8082083480568832,0.8207403651115619,0.8207403651115619,00:06:00.145
pubmed,pagerank,256,10,10,0.25,0.25,0.8108841912825566,0.8237829614604463,0.8237829614604463,00:06:02.669
pubmed,pagerank,256,10,10,0.25,0.25,0.8046063627946127,0.8176977687626775,0.8176977687626775,00:05:56.723
pubmed,pagerank,256,10,10,0.25,0.25,0.8096582829405087,0.8237829614604463,0.8237829614604463,00:05:56.940
pubmed,pagerank,256,10,10,0.25,0.25,0.8026031900480168,0.818204868154158,0.8182048681541582,00:05:57.675
pubmed,pagerank,256,10,10,0.25,0.25,0.8077129688390756,0.8197261663286004,0.8197261663286004,00:05:55.796
pubmed,pagerank,256,10,10,0.25,0.25,0.8025437750142054,0.8149087221095335,0.8149087221095335,00:05:51.699
pubmed,pagerank,256,10,10,0.25,0.25,0.8018079169820882,0.8141480730223124,0.8141480730223124,00:05:53.146
pubmed,pagerank,256,10,10,0.25,0.25,0.8006412862606099,0.8128803245436106,0.8128803245436106,00:05:53.142
pubmed,pagerank,256,10,10,0.25,0.25,0.8101084364126999,0.8227687626774848,0.8227687626774848,00:05:52.175
pubmed,pagerank,256,10,10,0.25,0.5,0.8071356337153226,0.8199797160243407,0.8199797160243407,00:05:47.593
pubmed,pagerank,256,10,10,0.25,0.5,0.8078634058458755,0.8207403651115619,0.8207403651115619,00:05:47.401
pubmed,pagerank,256,10,10,0.25,0.5,0.8039133935586863,0.8161764705882353,0.8161764705882353,00:05:44.553
pubmed,pagerank,256,10,10,0.25,0.5,0.8094477611880956,0.8217545638945233,0.8217545638945233,00:05:49.173
pubmed,pagerank,256,10,10,0.25,0.5,0.8031245954482987,0.815922920892495,0.815922920892495,00:05:52.571
pubmed,pagerank,256,10,10,0.25,0.5,0.8061683082808774,0.8189655172413793,0.8189655172413793,00:05:44.740
pubmed,pagerank,256,10,10,0.25,0.5,0.8090786718437858,0.822261663286004,0.822261663286004,00:05:45.347
pubmed,pagerank,256,10,10,0.25,0.5,0.8022052472075566,0.8151622718052738,0.8151622718052738,00:05:48.088
pubmed,pagerank,256,10,10,0.25,0.5,0.8054131484759878,0.8184584178498986,0.8184584178498986,00:05:46.258
pubmed,pagerank,256,10,10,0.25,0.5,0.8056476962798196,0.8179513184584178,0.8179513184584178,00:05:50.889
pubmed,pagerank,256,10,10,0.25,0.5,0.8069205387852093,0.8207403651115619,0.8207403651115619,00:05:50.423
pubmed,pagerank,256,10,10,0.25,0.5,0.8084889487567782,0.8227687626774848,0.8227687626774848,00:05:51.646
pubmed,pagerank,256,10,10,0.25,0.5,0.8051996547753735,0.818204868154158,0.8182048681541582,00:05:49.920
pubmed,pagerank,256,10,10,0.25,0.5,0.8106507055511374,0.8230223123732252,0.8230223123732252,00:05:52.959
pubmed,pagerank,256,10,10,0.25,0.5,0.8085349745852533,0.8217545638945233,0.8217545638945233,00:05:50.415
pubmed,pagerank,256,10,10,0.25,0.5,0.8105342028351893,0.8220081135902637,0.8220081135902637,00:05:59.056
pubmed,pagerank,256,10,10,0.25,0.5,0.8044324983832077,0.8179513184584178,0.8179513184584178,00:05:53.134
pubmed,pagerank,256,10,10,0.25,0.5,0.8066509423270998,0.8212474645030426,0.8212474645030426,00:05:52.783
pubmed,pagerank,256,10,10,0.25,0.5,0.8089926545485259,0.822261663286004,0.822261663286004,00:05:51.716
pubmed,pagerank,256,10,10,0.25,0.5,0.8089144557565994,0.822261663286004,0.822261663286004,00:05:56.630
