dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,deepwalk,256,10,10,1,1,0.7606532532065576,0.7736455075648719,0.7736455075648719,00:01:15.886,False
pubmed,deepwalk,256,10,10,1,1,0.7317409467285168,0.7603380621792937,0.7603380621792937,00:01:15.886,True
pubmed,deepwalk,256,10,10,1,1,0.7530808290443405,0.7669681345617446,0.7669681345617446,00:01:14.367,False
pubmed,deepwalk,256,10,10,1,1,0.7252273954512254,0.7555086024750981,0.7555086024750981,00:01:14.367,True
pubmed,deepwalk,256,10,10,1,1,0.7534664414412093,0.767052658270645,0.767052658270645,00:01:11.644,False
pubmed,deepwalk,256,10,10,1,1,0.7232935525555052,0.7521883489284636,0.7521883489284636,00:01:11.644,True
pubmed,deepwalk,256,10,10,1,1,0.7507885873386178,0.7640943284591327,0.7640943284591328,00:01:10.412,False
pubmed,deepwalk,256,10,10,1,1,0.7340709491677045,0.7618472683368548,0.7618472683368548,00:01:10.412,True
pubmed,deepwalk,256,10,10,1,1,0.7552375701931496,0.7691657509931535,0.7691657509931535,00:01:07.999,False
pubmed,deepwalk,256,10,10,1,1,0.7314022849927638,0.7573196498641713,0.7573196498641714,00:01:07.999,True
pubmed,deepwalk,256,10,10,1,1,0.7583696583050651,0.771955033386865,0.771955033386865,00:01:14.351,False
pubmed,deepwalk,256,10,10,1,1,0.7347491888510023,0.758225173558708,0.7582251735587081,00:01:14.351,True
pubmed,deepwalk,256,10,10,1,1,0.7551252377752999,0.7696728932465556,0.7696728932465556,00:01:11.637,False
pubmed,deepwalk,256,10,10,1,1,0.7390559685261057,0.7651675218834892,0.7651675218834892,00:01:11.637,True
pubmed,deepwalk,256,10,10,1,1,0.7498254044824012,0.7646014707125348,0.7646014707125348,00:01:12.834,False
pubmed,deepwalk,256,10,10,1,1,0.7377708812835012,0.7654693631150015,0.7654693631150015,00:01:12.834,True
pubmed,deepwalk,256,10,10,1,1,0.7520994363899048,0.7658693263460401,0.7658693263460401,00:01:13.155,False
pubmed,deepwalk,256,10,10,1,1,0.7260271645395528,0.7530938726230003,0.7530938726230003,00:01:13.155,True
pubmed,deepwalk,256,10,10,1,1,0.7606968511598681,0.7747443157805765,0.7747443157805765,00:01:12.725,False
pubmed,deepwalk,256,10,10,1,1,0.7320041058299572,0.7585270147902203,0.7585270147902203,00:01:12.725,True
pubmed,deepwalk,256,10,10,1,1,0.7519656961541775,0.7673907531062463,0.7673907531062463,00:01:14.572,False
pubmed,deepwalk,256,10,10,1,1,0.7351202889725054,0.7630546332629036,0.7630546332629037,00:01:14.572,True
pubmed,deepwalk,256,10,10,1,1,0.758432605893181,0.7716169385512637,0.7716169385512637,00:01:15.159,False
pubmed,deepwalk,256,10,10,1,1,0.7235870402184604,0.7488680953818292,0.7488680953818292,00:01:15.159,True
pubmed,deepwalk,256,10,10,1,1,0.7540862233071871,0.7687431324486519,0.7687431324486519,00:01:10.098,False
pubmed,deepwalk,256,10,10,1,1,0.7200591700694027,0.7497736190763657,0.7497736190763659,00:01:10.098,True
pubmed,deepwalk,256,10,10,1,1,0.7531718002958739,0.7681514664863495,0.7681514664863495,00:01:14.872,False
pubmed,deepwalk,256,10,10,1,1,0.7281276470429079,0.753999396317537,0.753999396317537,00:01:14.872,True
pubmed,deepwalk,256,10,10,1,1,0.7515524123200102,0.7665455160172429,0.7665455160172429,00:01:10.276,False
pubmed,deepwalk,256,10,10,1,1,0.7241065905525176,0.7530938726230003,0.7530938726230003,00:01:10.276,True
pubmed,deepwalk,256,10,10,1,1,0.7529186897022994,0.7674752768151466,0.7674752768151466,00:01:12.080,False
pubmed,deepwalk,256,10,10,1,1,0.7256999755148844,0.7533957138545125,0.7533957138545125,00:01:12.080,True
pubmed,deepwalk,256,10,10,1,1,0.7501036964854926,0.7646014707125348,0.7646014707125348,00:01:08.768,False
pubmed,deepwalk,256,10,10,1,1,0.7410709782016109,0.7672804105040749,0.7672804105040748,00:01:08.768,True
pubmed,deepwalk,256,10,10,1,1,0.7565543148274262,0.771955033386865,0.771955033386865,00:01:12.420,False
pubmed,deepwalk,256,10,10,1,1,0.7236454697044725,0.7521883489284636,0.7521883489284636,00:01:12.420,True
pubmed,deepwalk,256,10,10,1,1,0.7585306323059616,0.7715324148423631,0.7715324148423632,00:01:16.724,False
pubmed,deepwalk,256,10,10,1,1,0.7325087780108018,0.7612435858738303,0.7612435858738303,00:01:16.724,True
pubmed,deepwalk,256,10,10,1,1,0.7560843659479022,0.7699264643732566,0.7699264643732567,00:01:15.414,False
pubmed,deepwalk,256,10,10,1,1,0.7219589441610612,0.7530938726230003,0.7530938726230003,00:01:15.414,True
pubmed,deepwalk,256,10,10,1,1,0.7550007586428183,0.7692502747020539,0.7692502747020539,00:01:10.517,False
pubmed,deepwalk,256,10,10,1,1,0.719577302643195,0.7461515242982192,0.7461515242982192,00:01:10.517,True
pubmed,deepwalk,256,10,10,1,1,0.7573411293146544,0.7716169385512637,0.7716169385512637,00:01:11.142,False
pubmed,deepwalk,256,10,10,1,1,0.7331925889263334,0.7621491095683671,0.762149109568367,00:01:11.142,True
pubmed,deepwalk,256,10,10,1,1,0.7548418308708625,0.7691657509931535,0.7691657509931535,00:01:13.608,False
pubmed,deepwalk,256,10,10,1,1,0.7293513452462825,0.7588288560217326,0.7588288560217326,00:01:13.608,True
pubmed,deepwalk,256,10,10,1,1,0.7555762830160592,0.7696728932465556,0.7696728932465556,00:01:15.918,False
pubmed,deepwalk,256,10,10,1,1,0.7275164613659645,0.7579233323271959,0.7579233323271959,00:01:15.918,True
pubmed,deepwalk,256,10,10,1,1,0.7522260624949292,0.7649395655481362,0.7649395655481362,00:01:17.637,False
pubmed,deepwalk,256,10,10,1,1,0.7268534542692998,0.7564141261696348,0.7564141261696348,00:01:17.637,True
pubmed,deepwalk,256,10,10,1,1,0.7562245527789001,0.7718705096779647,0.7718705096779647,00:01:15.525,False
pubmed,deepwalk,256,10,10,1,1,0.7383586160254559,0.7618472683368548,0.7618472683368548,00:01:15.525,True
pubmed,deepwalk,256,10,10,1,1,0.7526097342785368,0.7671371819795453,0.7671371819795453,00:01:10.674,False
pubmed,deepwalk,256,10,10,1,1,0.7288633466505002,0.7573196498641713,0.7573196498641714,00:01:10.674,True
pubmed,deepwalk,256,10,10,1,1,0.757583297605913,0.7711943200067618,0.7711943200067619,00:01:11.692,False
pubmed,deepwalk,256,10,10,1,1,0.7329835606515461,0.7615454271053426,0.7615454271053426,00:01:11.692,True
pubmed,deepwalk,256,10,10,1,1,0.7537901007894824,0.7671371819795453,0.7671371819795453,00:01:11.036,False
pubmed,deepwalk,256,10,10,1,1,0.7457844585103337,0.7696951403561726,0.7696951403561727,00:01:11.036,True
pubmed,deepwalk,256,10,10,1,1,0.7494694390575359,0.7635026624968304,0.7635026624968304,00:01:13.226,False
pubmed,deepwalk,256,10,10,1,1,0.7312265495161888,0.760941744642318,0.7609417446423181,00:01:13.226,True
pubmed,deepwalk,256,10,10,1,1,0.7567664240362565,0.7700955117910573,0.7700955117910574,00:01:05.239,False
pubmed,deepwalk,256,10,10,1,1,0.733029374847234,0.7621491095683671,0.762149109568367,00:01:05.239,True
pubmed,deepwalk,256,10,10,1,1,0.7556827948850517,0.7698419406643564,0.7698419406643564,00:01:12.964,False
pubmed,deepwalk,256,10,10,1,1,0.7269339361596625,0.7549049200120737,0.7549049200120737,00:01:12.964,True
pubmed,deepwalk,256,10,10,1,1,0.7532846708533945,0.7685740850308511,0.7685740850308511,00:01:12.041,False
pubmed,deepwalk,256,10,10,1,1,0.7301685516269538,0.7576214910956837,0.7576214910956837,00:01:12.041,True
pubmed,deepwalk,256,10,10,1,1,0.7513159555936885,0.7657002789282393,0.7657002789282393,00:01:15.308,False
pubmed,deepwalk,256,10,10,1,1,0.7288231946932457,0.7576214910956837,0.7576214910956837,00:01:15.308,True
pubmed,deepwalk,256,10,10,1,1,0.7540126821858109,0.7667990871439438,0.7667990871439438,00:01:11.953,False
pubmed,deepwalk,256,10,10,1,1,0.7296948014422456,0.7552067612435859,0.7552067612435859,00:01:11.953,True
pubmed,deepwalk,256,10,10,1,1,0.7540006829641263,0.7684895613219508,0.7684895613219508,00:01:10.278,False
pubmed,deepwalk,256,10,10,1,1,0.7225858468546695,0.7521883489284636,0.7521883489284636,00:01:10.278,True
pubmed,deepwalk,256,10,10,1,1,0.7486504417255767,0.7636717099146311,0.7636717099146311,00:01:13.057,False
pubmed,deepwalk,256,10,10,1,1,0.7380210883181074,0.7615454271053426,0.7615454271053426,00:01:13.057,True
pubmed,deepwalk,256,10,10,1,1,0.758377874785645,0.7728002704758685,0.7728002704758685,00:01:11.028,False
pubmed,deepwalk,256,10,10,1,1,0.740548789962276,0.7657712043465138,0.7657712043465137,00:01:11.028,True
pubmed,deepwalk,256,10,10,1,1,0.7514032134331871,0.7651931366748372,0.7651931366748372,00:01:10.049,False
pubmed,deepwalk,256,10,10,1,1,0.724651022722997,0.7533957138545125,0.7533957138545125,00:01:10.049,True
pubmed,deepwalk,256,10,10,1,1,0.7556668289459436,0.7695883695376553,0.7695883695376553,00:01:11.305,False
pubmed,deepwalk,256,10,10,1,1,0.7358361618650319,0.7639601569574404,0.7639601569574404,00:01:11.305,True
pubmed,deepwalk,256,10,10,1,1,0.7553240064483843,0.7682359901952498,0.7682359901952498,00:01:13.411,False
pubmed,deepwalk,256,10,10,1,1,0.7268569323712377,0.7536975550860249,0.7536975550860248,00:01:13.411,True
pubmed,deepwalk,256,10,10,1,1,0.7492827369990254,0.763164567661229,0.763164567661229,00:01:12.030,False
pubmed,deepwalk,256,10,10,1,1,0.7293057481890207,0.7591306972532449,0.7591306972532448,00:01:12.030,True
pubmed,deepwalk,256,10,10,1,1,0.759117002083598,0.7727157467669681,0.7727157467669681,00:01:12.788,False
pubmed,deepwalk,256,10,10,1,1,0.7280814038212803,0.7603380621792937,0.7603380621792937,00:01:12.788,True
pubmed,deepwalk,256,10,10,1,1,0.7548984787726759,0.7711943200067618,0.7711943200067619,00:01:05.331,False
pubmed,deepwalk,256,10,10,1,1,0.7339066045221111,0.7621491095683671,0.762149109568367,00:01:05.331,True
pubmed,deepwalk,256,10,10,1,1,0.7596600334513405,0.7732228890203702,0.7732228890203702,00:01:12.414,False
pubmed,deepwalk,256,10,10,1,1,0.7367445645269958,0.764865680651977,0.764865680651977,00:01:12.414,True
pubmed,deepwalk,256,10,10,1,1,0.7525115058088655,0.765615755219339,0.765615755219339,00:01:11.224,False
pubmed,deepwalk,256,10,10,1,1,0.7302946303915524,0.756715967401147,0.756715967401147,00:01:11.224,True
