dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,deepwalk,256,10,10,1,1,0.7799853564908122,0.7933569979716025,0.7933569979716024,00:01:12.971
pubmed,deepwalk,256,10,10,1,1,0.7773540376417533,0.7908215010141988,0.7908215010141988,00:01:13.644
pubmed,deepwalk,256,10,10,1,1,0.7770062740840222,0.789553752535497,0.789553752535497,00:01:12.540
pubmed,deepwalk,256,10,10,1,1,0.779568458292184,0.7913286004056795,0.7913286004056795,00:01:13.643
pubmed,deepwalk,256,10,10,1,1,0.7847459088963974,0.7991886409736308,0.7991886409736308,00:01:13.462
pubmed,deepwalk,256,10,10,1,1,0.7901057487677873,0.8029918864097363,0.8029918864097363,00:01:12.775
pubmed,deepwalk,256,10,10,1,1,0.7793277997902321,0.7918356997971603,0.7918356997971603,00:01:13.423
pubmed,deepwalk,256,10,10,1,1,0.7851229395081468,0.7986815415821501,0.7986815415821501,00:01:12.833
pubmed,deepwalk,256,10,10,1,1,0.7773515062953177,0.790314401622718,0.790314401622718,00:01:13.286
pubmed,deepwalk,256,10,10,1,1,0.7868303898454098,0.7974137931034483,0.7974137931034483,00:01:13.128
pubmed,deepwalk,256,10,10,1,1,0.781676370247443,0.7943711967545639,0.7943711967545639,00:01:14.180
pubmed,deepwalk,256,10,10,1,1,0.7694477172570447,0.7867647058823529,0.7867647058823529,00:01:13.009
pubmed,deepwalk,256,10,10,1,1,0.7809744230446239,0.7938640973630832,0.7938640973630832,00:01:13.064
pubmed,deepwalk,256,10,10,1,1,0.7796642300568907,0.7923427991886409,0.7923427991886409,00:01:12.829
pubmed,deepwalk,256,10,10,1,1,0.7803949645513656,0.7925963488843814,0.7925963488843814,00:01:12.967
pubmed,deepwalk,256,10,10,1,1,0.7820478147242694,0.7946247464503042,0.7946247464503042,00:01:12.821
pubmed,deepwalk,256,10,10,1,1,0.7716880224824972,0.7860040567951317,0.7860040567951319,00:01:12.875
pubmed,deepwalk,256,10,10,1,1,0.7788159252912087,0.7928498985801218,0.7928498985801217,00:01:12.833
pubmed,deepwalk,256,10,10,1,1,0.777359303956275,0.7910750507099392,0.7910750507099391,00:01:13.162
pubmed,deepwalk,256,10,10,1,1,0.7828341915840036,0.7953853955375254,0.7953853955375254,00:01:12.868
